company_name,stock_ticker,exchange,sector,sics_sector,ebitda_2022,ebitda_currency,ebitda_unit,non_usd,ebitda_source,sustainability_report,headquarters_country,iso_3166_code,scope_1_emissions,scope_2_emissions,scope_3_emissions,emissions_reporting_unit,notes
 eBay,EBAY,NASDAQ,Consumer Services,5731,3.38,USD,billion,0,https://investors.ebayinc.com/investor-news/press-release-details/2023/eBay-Inc.-Reports-Better-Than-Expected-Fourth-Quarter-2022-Results/default.aspx,https://www.prnewswire.com/news-releases/science-based-targets-initiative-approves-ebays-ambitious-goal-to-reduce-scope-1-and-2-carbon-emissions-90-by-2030-301400247.html,United States,US,0.5,0.1,1.6,million tonnes CO₂e,"eBay reported an EBITDA of 3.38 billion USD for the year ending 2022 and has committed to reducing its Scope 1 and Scope 2 emissions by 90% by 2030 from a 2019 baseline. In 2023, their GHG emissions included 0.5 million tonnes for Scope 1 and 0.1 million tonnes for Scope 2 with an additional 1.6 million tonnes from Scope 3 emissions. The company is striving for carbon neutrality in its operations."
 Zoom Video Communications,ZM,NASDAQ,Technology,7372,1.29,USD,billion,0,https://investors.zoom.us/node/11021/pdf,https://explore.zoom.us/media/fy2023-zoom-esg-report.pdf,United States,US,328.0,21045.0,54469.0,million tonnes CO₂e,"Zoom reported an EBITDA of 1.29 billion USD for the year ending 2022 and has set ambitious sustainability targets aiming for carbon neutrality by 2030. In 2023, their GHG emissions included 0.328 million tonnes for Scope 1 and 21.045 million tonnes for Scope 2 with an additional 54.469 million tonnes from Scope 3 emissions. The company is committed to reducing its emissions by 50% by 2030 compared to 2021 levels."
 Netflix,NFLX,NASDAQ,Consumer Discretionary,7812,19996.0,USD,billion,0,https://www.macrotrends.net/stocks/charts/NFLX/netflix/ebitda,https://downloads.ctfassets.net/4cd45et68cgf/7rnC6zK537cM8zAGrXA90E/3c654a2d0023a4dac26a20b2fff39855/Netflix_2022-ESG-Report-FINAL.pdf,United States,US,162.0,51.0,1193.0,million tonnes CO₂e,"Netflix reported an EBITDA of 19.996 billion USD for the year ending 2022 and has set ambitious sustainability targets aiming for carbon neutrality by 2030. In 2023, their GHG emissions included 0.162 million tonnes for Scope 1 and 0.051 million tonnes for Scope 2 with an additional 1.192659 million tonnes from Scope 3 emissions. The company is committed to reducing its emissions by 50% by 2030 compared to 2021 levels."
 Autodesk,ADSK,NASDAQ,Technology,7372,1.4,USD,billion,0,https://investors.autodesk.com/news-releases/news-release-details/autodesk-inc-announces-fiscal-2022-fourth-quarter-and-full-year,https://damassets.autodesk.net/content/dam/autodesk/www/pdfs/fy23-autodesk-impact-report.pdf,United States,US,0.1,0.03,2.3,million tonnes CO₂e,"Autodesk reported an EBITDA of 1.40 billion USD for the year ending 2022 and has committed to neutralizing its GHG emissions across Scopes 1, 2, and 3 since FY21. In 2023, their GHG emissions included 0.10 million tonnes for Scope 1 and 0.03 million tonnes for Scope 2 with an additional 2.30 million tonnes from Scope 3 emissions. The company aims to further reduce its emissions significantly in the coming years."
 Walt Disney Company,DIS,NYSE,Communication Services,7812,11.91,USD,billion,0,https://www.businesswire.com/news/home/20241114719290/en/The-Walt-Disney-Company-Reports-Fourth-Quarter-and-Full-Year-Earnings-for-Fiscal-2024,https://www.greendigest.co/p/waltdisney-environmental-and-social-impact,United States,US,1.0,9.0,13.0,million tonnes CO₂e,"Disney reported an EBITDA of 11.91 billion USD for the year ending 2022 and continues to focus on sustainability initiatives to reduce its carbon footprint. In 2023, their GHG emissions included 1.0 million tonnes for Scope 1 and 9 million tonnes for Scope 2 with an additional 13 million tonnes from Scope 3 emissions. The company aims to achieve significant reductions in its overall emissions by 2030."
 Warner Music Group,WMG,NASDAQ,Media,5122,1.2,USD,billion,0,https://www.globenewswire.com/news-release/2023/11/16/2781735/0/en/Warner-Music-Group-Corp-Reports-Results-for-Fiscal-Fourth-Quarter-and-Full-Year-Ended-September-30-2023.html,https://www.wmg.com/news/warner-music-group-releases-2023-annual-esg-impact-report,United States,US,0.15,0.03,8.0,million tonnes CO₂e,"Warner Music Group reported an EBITDA of 1.20 billion USD for the year ending September 30, 2022 and is committed to reducing its GHG emissions across all scopes by 2030 with specific targets validated by the Science Based Targets initiative."
 Sony Group Corporation,,,,3651,2.04,USD,billion,0,https://www.sony.com/en/SonyInfo/IR/library/presen/er/pdf/22q4_sonyspeech.pdf,https://www.sony.com/en/SonyInfo/csr/library/reports/SustainabilityReport2023_data_E.pdf,Japan,JP,0.23,0.74,20.45,million tonnes CO₂e,"Sony reported an EBITDA of 2.04 billion USD for the year ending 2022 and aims to achieve a 72% reduction in absolute scope 1 and 2 GHG emissions by FY2035 from a FY2018 base year. In 2023, their GHG emissions included 0.23 million tonnes for Scope 1 and 0.74 million tonnes for Scope 2 with an additional 20.45 million tonnes from Scope 3 emissions."
 Marriott International,MAR,NASDAQ,Consumer Discretionary,7011,1.09,USD,billion,0,https://www.marriott.com/investor/financials/default.mi,,United States,US,0.21,0.08,5.12,million tonnes CO₂e,
 Hilton,HLT,NYSE,Consumer Discretionary,7011,2.6,USD,billion,0,https://www.businesswire.com/news/home/20230209005067/en/Hilton-Reports-Fourth-Quarter-and-Full-Year-Results,https://esg.hilton.com/environment/,United States,US,2.57,0.0,4.02,million tonnes CO₂e,"Hilton reported an Adjusted EBITDA of 2.60 billion USD for the year ended 2022 and has set ambitious targets to achieve net zero emissions by 2030. In 2023, their GHG emissions included 2.57 million tonnes for Scope 1 and 0.00 million tonnes for Scope 2 with an additional 4.02 million tonnes from Scope 3 emissions. The company aims to reduce its emissions intensity by 75% for managed hotels by 2030."
 Expedia Group,EXPE,NASDAQ,Technology,7370,2.35,USD,billion,0,https://www.expediagroup.com/investors/news-and-events/financial-releases/news/news-details/2024/Expedia-Group-Reports-Fourth-Quarter-and-Full-Year-2023-Results/default.aspx,https://s202.q4cdn.com/757635260/files/doc_downloads/2024/05/expedia-group-global-impact-report-2023.pdf,USA,US,0.5,2.0,97.5,million tonnes CO₂e,"Expedia Group’s 2023 Global Impact Report provides an executive summary of the Company’s Environmental, Social, and Governance (ESG) strategy, targets, and performance."
